+-------+-----+------+-------+-----+-----+--------+---------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+--------------+-----------+
| COUNT | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |                  URI                  |  MIN  |  MAX  |   SUM   |  AVG  |  P1   |  P50  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-------+-----+-----+--------+---------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+--------------+-----------+
| 16844 |   0 | 2387 | 14457 |   0 |   0 | GET    | /api/user/[a-zA-Z0-9]+/icon           | 0.004 | 0.088 | 199.192 | 0.012 | 0.004 | 0.032 | 0.012 |  0.008 |     0.000 | 103051.000 | 19309475.000 |  1146.371 |
|   754 |   0 |  754 |     0 |   0 |   0 | GET    | /api/livestream/search                | 0.020 | 0.644 | 142.020 | 0.188 | 0.068 | 0.136 | 0.192 |  0.067 | 40322.000 | 129092.000 | 37394464.000 | 49594.780 |
|  2041 |   0 | 2040 |     0 |   1 |   0 | GET    | /api/livestream/[0-9]+/livecomment    | 0.004 | 0.284 | 136.448 | 0.067 | 0.024 | 0.096 | 0.008 |  0.052 | 13768.000 |  59717.000 | 24599478.000 | 12052.659 |
|  2073 |   0 | 2073 |     0 |   0 |   0 | GET    | /api/livestream/[0-9]+/reaction       | 0.004 | 0.272 | 122.616 | 0.059 | 0.004 | 0.036 | 0.040 |  0.050 |     2.000 |  55575.000 | 22947288.000 | 11069.603 |
|   466 |   0 |  464 |     0 |   1 |   1 | POST   | /api/register                         | 0.028 | 0.248 |  73.748 | 0.158 | 0.000 | 0.152 | 0.180 |  0.035 |    43.000 |    475.000 |   198814.000 |   426.639 |
|  2058 |   0 | 2053 |     0 |   5 |   0 | POST   | /api/livestream/[0-9]+/livecomment    | 0.004 | 0.084 |  43.440 | 0.021 | 0.004 | 0.016 | 0.012 |  0.009 |    44.000 |   2108.000 |  3166821.000 |  1538.786 |
|   653 |   0 |  650 |     0 |   3 |   0 | POST   | /api/livestream/reservation           | 0.024 | 0.112 |  37.024 | 0.057 | 0.012 | 0.056 | 0.060 |  0.017 |    38.000 |   1062.000 |   614880.000 |   941.623 |
|  1872 |   0 | 1872 |     0 |   0 |   0 | POST   | /api/livestream/[0-9]+/reaction       | 0.004 | 0.076 |  35.136 | 0.019 | 0.004 | 0.024 | 0.016 |  0.009 |  1328.000 |   1585.000 |  2737954.000 |  1462.582 |
|   928 |   0 |  927 |     0 |   0 |   1 | GET    | /api/livestream/[0-9]+/report         | 0.004 | 0.064 |  12.952 | 0.014 | 0.008 | 0.012 | 0.016 |  0.008 |     2.000 |   5957.000 |    66302.000 |    71.446 |
|   513 |   0 |  506 |     0 |   0 |   7 | POST   | /api/icon                             | 0.004 | 0.072 |  10.604 | 0.021 | 0.004 | 0.020 | 0.008 |  0.012 |     8.000 |    134.000 |     5893.000 |    11.487 |
|   696 |   0 |  696 |     0 |   0 |   0 | GET    | /api/livestream/[0-9]+/ngwords        | 0.004 | 0.068 |   8.624 | 0.012 | 0.004 | 0.016 | 0.004 |  0.008 |     2.000 |    396.000 |    27165.000 |    39.030 |
|   467 |   0 |  467 |     0 |   0 |   0 | POST   | /api/livestream/[0-9]+/moderate       | 0.004 | 0.064 |   8.608 | 0.018 | 0.020 | 0.012 | 0.012 |  0.008 |    17.000 |     17.000 |     7939.000 |    17.000 |
|   471 |   0 |  469 |     0 |   2 |   0 | POST   | /api/login                            | 0.004 | 0.048 |   6.588 | 0.014 | 0.004 | 0.012 | 0.012 |  0.007 |     0.000 |     54.000 |      108.000 |     0.229 |
|   229 |   0 |  229 |     0 |   0 |   0 | GET    | /api/livestream                       | 0.004 | 0.080 |   5.196 | 0.023 | 0.008 | 0.000 | 0.016 |  0.015 |     2.000 |  17583.000 |   747218.000 |  3262.961 |
|   177 |   0 |  177 |     0 |   0 |   0 | DELETE | /api/livestream/[0-9]+/exit           | 0.004 | 0.052 |   2.324 | 0.013 | 0.000 | 0.016 | 0.004 |  0.008 |     0.000 |      0.000 |        0.000 |     0.000 |
|   185 |   0 |  185 |     0 |   0 |   0 | POST   | /api/livestream/[0-9]+/enter          | 0.004 | 0.052 |   2.152 | 0.012 | 0.000 | 0.008 | 0.004 |  0.009 |     0.000 |      0.000 |        0.000 |     0.000 |
|     1 |   0 |    1 |     0 |   0 |   0 | POST   | /api/initialize                       | 2.144 | 2.144 |   2.144 | 2.144 | 2.144 | 2.144 | 2.144 |  0.000 |    19.000 |     19.000 |       19.000 |    19.000 |
|    23 |   0 |   19 |     0 |   0 |   4 | GET    | /api/user/[a-zA-Z0-9]+/statistics     | 0.016 | 0.132 |   1.616 | 0.070 | 0.020 | 0.076 | 0.104 |  0.024 |   107.000 |    135.000 |     2682.000 |   116.609 |
|    10 |   0 |   10 |     0 |   0 |   0 | GET    | /api/livestream/[0-9]+/statistics     | 0.024 | 0.176 |   1.220 | 0.122 | 0.024 | 0.136 | 0.176 |  0.052 |    78.000 |     82.000 |      807.000 |    80.700 |
|   649 |   0 |  649 |     0 |   0 |   0 | GET    | /api/tag                              | 0.000 | 0.008 |   1.108 | 0.002 | 0.000 | 0.004 | 0.000 |  0.002 |  3384.000 |   3384.000 |  2196216.000 |  3384.000 |
|    22 |   0 |   22 |     0 |   0 |   0 | GET    | /api/user/[a-zA-Z0-9]+/theme          | 0.004 | 0.024 |   0.256 | 0.012 | 0.000 | 0.008 | 0.024 |  0.006 |    28.000 |     28.000 |      616.000 |    28.000 |
|     2 |   0 |    2 |     0 |   0 |   0 | GET    | /api/user/kazuya580/livestream        | 0.048 | 0.068 |   0.116 | 0.058 | 0.068 | 0.068 | 0.068 |  0.010 |  9565.000 |  11495.000 |    21060.000 | 10530.000 |
|     3 |   0 |    3 |     0 |   0 |   0 | GET    | /api/user/hanako600/livestream        | 0.032 | 0.044 |   0.108 | 0.036 | 0.032 | 0.032 | 0.044 |  0.006 |  7491.000 |   9375.000 |    25343.000 |  8447.667 |
|     1 |   0 |    1 |     0 |   0 |   0 | GET    | /api/user/satomigoto0/livestream      | 0.064 | 0.064 |   0.064 | 0.064 | 0.064 | 0.064 | 0.064 |  0.000 |  7628.000 |   7628.000 |     7628.000 |  7628.000 |
|     2 |   0 |    2 |     0 |   0 |   0 | GET    | /api/user/endoyui0/livestream         | 0.024 | 0.036 |   0.060 | 0.030 | 0.024 | 0.024 | 0.024 |  0.006 |  4730.000 |   5652.000 |    10382.000 |  5191.000 |
|     2 |   0 |    2 |     0 |   0 |   0 | GET    | /api/user/yoko260/livestream          | 0.016 | 0.040 |   0.056 | 0.028 | 0.016 | 0.016 | 0.016 |  0.012 |  5671.000 |   5671.000 |    11342.000 |  5671.000 |
|     1 |   0 |    1 |     0 |   0 |   0 | GET    | /api/user/yuitakahashi0/livestream    | 0.048 | 0.048 |   0.048 | 0.048 | 0.048 | 0.048 | 0.048 |  0.000 |  9675.000 |   9675.000 |     9675.000 |  9675.000 |
